gene;sample;mutated;label;year
CMY;109;0;β-lactamases;2017
CTX-M;109;0;β-lactamases;2017
DHA;109;0;β-lactamases;2017
FOX;109;0;β-lactamases;2017
GES;109;0;β-lactamases;2017
IMP;109;0;β-lactamases;2017
LAP;109;0;β-lactamases;2017
OXA;109;0;β-lactamases;2017
PSE;109;0;β-lactamases;2017
SHV;109;0;β-lactamases;2017
TEM;109;0;β-lactamases;2017
VEB;109;0;β-lactamases;2017
umuC/D;109;2;features;2017
Plasmid-segregation;109;2;features;2017
Toxin-antitoxin;109;2;features;2017
psiA/B;109;2;features;2017
Mercuric Res.;109;0;features;2017
Copper Res.;109;0;features;2017
Arsenic Res.;109;0;features;2017
IncA/C;109;0;Inc-group;2017
IncA/C2;109;0;Inc-group;2017
IncFIA;109;0;Inc-group;2017
IncFIB;109;0;Inc-group;2017
IncFIC;109;0;Inc-group;2017
IncFII;109;0;Inc-group;2017
IncHI1A;109;0;Inc-group;2017
IncHI1B;109;0;Inc-group;2017
IncHI2;109;0;Inc-group;2017
IncHI2A;109;0;Inc-group;2017
IncI2;109;0;Inc-group;2017
IncL/M;109;0;Inc-group;2017
IncN;109;3;Inc-group;2017
IncN2;109;0;Inc-group;2017
IncN3;109;0;Inc-group;2017
IncP;109;0;Inc-group;2017
IncQ1;109;0;Inc-group;2017
IncQ2;109;0;Inc-group;2017
IncU;109;0;Inc-group;2017
IncX3;109;0;Inc-group;2017
IncY;109;0;Inc-group;2017
Acinetobacter;109;0;Organism;2017
Aeromonas;109;0;Organism;2017
Citrobacter;109;0;Organism;2017
Enterbacter;109;0;Organism;2017
Enterobacter;109;0;Organism;2017
Enterobacteriaceae;109;0;Organism;2017
Escherichia;109;0;Organism;2017
Klebsiella;109;4;Organism;2017
Leclercia;109;0;Organism;2017
Morganella;109;0;Organism;2017
Pantoea;109;0;Organism;2017
Proteus;109;0;Organism;2017
Pseudomonas;109;0;Organism;2017
Raoultella;109;0;Organism;2017
Salmonella;109;0;Organism;2017
Serratia;109;0;Organism;2017
Resolvase found;109;5;Transpos.;2017
Tn4401;;0;Transpos.;2017
Tn4401 fragmented;;0;Transpos.;2017
CMY;3;0;β-lactamases;2006
CTX-M;3;1;β-lactamases;2006
DHA;3;0;β-lactamases;2006
FOX;3;0;β-lactamases;2006
GES;3;0;β-lactamases;2006
IMP;3;0;β-lactamases;2006
LAP;3;0;β-lactamases;2006
OXA;3;0;β-lactamases;2006
PSE;3;0;β-lactamases;2006
SHV;3;0;β-lactamases;2006
TEM;3;1;β-lactamases;2006
VEB;3;1;β-lactamases;2006
umuC/D;3;2;features;2006
Plasmid-segregation;3;2;features;2006
Toxin-antitoxin;3;2;features;2006
psiA/B;3;2;features;2006
Mercuric Res.;3;2;features;2006
Copper Res.;3;2;features;2006
Arsenic Res.;3;2;features;2006
IncA/C;3;0;Inc-group;2006
IncA/C2;3;0;Inc-group;2006
IncFIA;3;0;Inc-group;2006
IncFIB;3;3;Inc-group;2006
IncFIC;3;0;Inc-group;2006
IncFII;3;0;Inc-group;2006
IncHI1A;3;0;Inc-group;2006
IncHI1B;3;0;Inc-group;2006
IncHI2;3;0;Inc-group;2006
IncHI2A;3;0;Inc-group;2006
IncI2;3;0;Inc-group;2006
IncL/M;3;0;Inc-group;2006
IncN;3;0;Inc-group;2006
IncN2;3;0;Inc-group;2006
IncN3;3;0;Inc-group;2006
IncP;3;0;Inc-group;2006
IncQ1;3;0;Inc-group;2006
IncQ2;3;0;Inc-group;2006
IncU;3;0;Inc-group;2006
IncX3;3;0;Inc-group;2006
IncY;3;0;Inc-group;2006
Acinetobacter;3;0;Organism;2006
Aeromonas;3;4;Organism;2006
Citrobacter;3;4;Organism;2006
Enterbacter;3;0;Organism;2006
Enterobacter;3;4;Organism;2006
Enterobacteriaceae;3;0;Organism;2006
Escherichia;3;4;Organism;2006
Klebsiella;3;4;Organism;2006
Leclercia;3;0;Organism;2006
Morganella;3;0;Organism;2006
Pantoea;3;0;Organism;2006
Proteus;3;0;Organism;2006
Pseudomonas;3;0;Organism;2006
Raoultella;3;0;Organism;2006
Salmonella;3;0;Organism;2006
Serratia;3;0;Organism;2006
Resolvase found;3;5;Transpos.;2006
Tn4401;;0;Transpos.;2006
Tn4401 fragmented;;0;Transpos.;2006
CMY;83;0;β-lactamases;2010
CTX-M;83;0;β-lactamases;2010
DHA;83;0;β-lactamases;2010
FOX;83;0;β-lactamases;2010
GES;83;0;β-lactamases;2010
IMP;83;0;β-lactamases;2010
LAP;83;0;β-lactamases;2010
OXA;83;1;β-lactamases;2010
PSE;83;0;β-lactamases;2010
SHV;83;0;β-lactamases;2010
TEM;83;1;β-lactamases;2010
VEB;83;0;β-lactamases;2010
umuC/D;83;2;features;2010
Plasmid-segregation;83;2;features;2010
Toxin-antitoxin;83;2;features;2010
psiA/B;83;0;features;2010
Mercuric Res.;83;2;features;2010
Copper Res.;83;0;features;2010
Arsenic Res.;83;0;features;2010
IncA/C;83;0;Inc-group;2010
IncA/C2;83;0;Inc-group;2010
IncFIA;83;0;Inc-group;2010
IncFIB;83;0;Inc-group;2010
IncFIC;83;0;Inc-group;2010
IncFII;83;0;Inc-group;2010
IncHI1A;83;0;Inc-group;2010
IncHI1B;83;0;Inc-group;2010
IncHI2;83;0;Inc-group;2010
IncHI2A;83;0;Inc-group;2010
IncI2;83;0;Inc-group;2010
IncL/M;83;0;Inc-group;2010
IncN;83;0;Inc-group;2010
IncN2;83;0;Inc-group;2010
IncN3;83;0;Inc-group;2010
IncP;83;0;Inc-group;2010
IncQ1;83;0;Inc-group;2010
IncQ2;83;0;Inc-group;2010
IncU;83;0;Inc-group;2010
IncX3;83;0;Inc-group;2010
IncY;83;0;Inc-group;2010
Acinetobacter;83;0;Organism;2010
Aeromonas;83;0;Organism;2010
Citrobacter;83;0;Organism;2010
Enterbacter;83;0;Organism;2010
Enterobacter;83;0;Organism;2010
Enterobacteriaceae;83;0;Organism;2010
Escherichia;83;4;Organism;2010
Klebsiella;83;4;Organism;2010
Leclercia;83;0;Organism;2010
Morganella;83;0;Organism;2010
Pantoea;83;0;Organism;2010
Proteus;83;0;Organism;2010
Pseudomonas;83;0;Organism;2010
Raoultella;83;0;Organism;2010
Salmonella;83;0;Organism;2010
Serratia;83;0;Organism;2010
Resolvase found;83;5;Transpos.;2010
Tn4401;;5;Transpos.;2010
Tn4401 fragmented;;0;Transpos.;2010
