group,amount,basepair_median
Plasmid_type_1,16,63404.43
Plasmid_type_10,1,225133.00
Plasmid_type_100,1,73840.00
Plasmid_type_101,1,72305.00
Plasmid_type_102,1,71889.00
Plasmid_type_103,3,34870.33
Plasmid_type_104,5,61836.80
Plasmid_type_105,2,37587.00
Plasmid_type_106,1,68104.00
Plasmid_type_107,1,67554.00
Plasmid_type_108,1,67482.00
Plasmid_type_109,1,67197.00
Plasmid_type_11,5,54943.80
Plasmid_type_110,3,66294.00
Plasmid_type_111,1,66224.00
Plasmid_type_112,1,64636.00
Plasmid_type_113,11,51561.45
Plasmid_type_114,2,54216.50
Plasmid_type_115,2,42225.50
Plasmid_type_116,1,59465.00
Plasmid_type_117,1,59266.00
Plasmid_type_118,1,58514.00
Plasmid_type_119,2,57868.50
Plasmid_type_12,1,217505.00
Plasmid_type_120,1,57539.00
Plasmid_type_121,5,43478.00
Plasmid_type_122,3,53459.66
Plasmid_type_123,1,56228.00
Plasmid_type_124,1,56209.00
Plasmid_type_125,2,48551.00
Plasmid_type_126,1,53530.00
Plasmid_type_127,4,52774.75
Plasmid_type_128,1,52627.00
Plasmid_type_129,1,52402.00
Plasmid_type_13,3,210285.66
Plasmid_type_130,1,52335.00
Plasmid_type_131,1,51900.00
Plasmid_type_132,11,44888.45
Plasmid_type_133,1,47966.00
Plasmid_type_134,6,45809.16
Plasmid_type_135,7,37073.57
Plasmid_type_136,1,44556.00
Plasmid_type_137,2,42246.50
Plasmid_type_138,1,35803.00
Plasmid_type_139,1,32888.00
Plasmid_type_14,2,208277.50
Plasmid_type_140,1,31980.00
Plasmid_type_141,2,30481.00
Plasmid_type_142,1,24316.00
Plasmid_type_143,1,24281.00
Plasmid_type_144,1,22957.00
Plasmid_type_145,1,21489.00
Plasmid_type_146,1,20535.00
Plasmid_type_147,1,17168.00
Plasmid_type_148,1,16796.00
Plasmid_type_149,2,15892.00
Plasmid_type_15,20,129135.70
Plasmid_type_150,3,10884.00
Plasmid_type_151,1,12931.00
Plasmid_type_152,1,9685.00
Plasmid_type_153,1,8110.00
Plasmid_type_16,1,184028.00
Plasmid_type_17,1,182838.00
Plasmid_type_18,1,181187.00
Plasmid_type_19,1,179019.00
Plasmid_type_2,1,441342.00
Plasmid_type_20,4,62679.00
Plasmid_type_21,4,87260.75
Plasmid_type_22,1,174720.00
Plasmid_type_23,1,172200.00
Plasmid_type_24,2,171842.50
Plasmid_type_25,3,84017.00
Plasmid_type_26,1,167763.00
Plasmid_type_27,1,166544.00
Plasmid_type_28,1,164875.00
Plasmid_type_29,1,164301.00
Plasmid_type_3,18,47412.27
Plasmid_type_30,2,90628.00
Plasmid_type_31,1,154214.00
Plasmid_type_32,1,153820.00
Plasmid_type_33,2,150910.50
Plasmid_type_34,1,153348.00
Plasmid_type_35,1,151391.00
Plasmid_type_36,1,150136.00
Plasmid_type_37,1,148887.00
Plasmid_type_38,5,141288.60
Plasmid_type_39,1,148251.00
Plasmid_type_4,1,276091.00
Plasmid_type_40,3,134747.66
Plasmid_type_41,1,146113.00
Plasmid_type_42,1,145589.00
Plasmid_type_43,1,145396.00
Plasmid_type_44,1,144870.00
Plasmid_type_45,1,142095.00
Plasmid_type_46,1,141941.00
Plasmid_type_47,1,139146.00
Plasmid_type_48,2,123384.50
Plasmid_type_49,2,132218.50
Plasmid_type_5,1,253098.00
Plasmid_type_50,1,132418.00
Plasmid_type_51,1,130577.00
Plasmid_type_52,2,122237.00
Plasmid_type_53,1,129799.00
Plasmid_type_54,1,123604.00
Plasmid_type_55,2,117933.00
Plasmid_type_56,3,47514.66
Plasmid_type_57,35,111723.08
Plasmid_type_58,1,119601.00
Plasmid_type_59,1,119543.00
Plasmid_type_6,1,247191.00
Plasmid_type_60,1,119379.00
Plasmid_type_61,1,118964.00
Plasmid_type_62,2,117515.50
Plasmid_type_63,1,118007.00
Plasmid_type_64,1,117705.00
Plasmid_type_65,6,66172.83
Plasmid_type_66,2,111780.50
Plasmid_type_67,2,114721.00
Plasmid_type_68,1,112287.00
Plasmid_type_69,2,107921.00
Plasmid_type_7,6,101454.33
Plasmid_type_70,2,108563.50
Plasmid_type_71,1,107426.00
Plasmid_type_72,1,104932.00
Plasmid_type_73,1,103371.00
Plasmid_type_74,2,93339.50
Plasmid_type_75,7,56170.28
Plasmid_type_76,3,91745.00
Plasmid_type_77,1,91642.00
Plasmid_type_78,1,91020.00
Plasmid_type_79,1,89955.00
Plasmid_type_8,1,243402.00
Plasmid_type_80,3,66550.00
Plasmid_type_81,8,67982.37
Plasmid_type_82,1,88269.00
Plasmid_type_83,6,74808.16
Plasmid_type_84,3,42950.00
Plasmid_type_85,3,69263.00
Plasmid_type_86,1,84591.00
Plasmid_type_87,4,82535.75
Plasmid_type_88,8,56249.00
Plasmid_type_89,1,82485.00
Plasmid_type_9,6,129736.16
Plasmid_type_90,5,67873.20
Plasmid_type_91,6,78147.33
Plasmid_type_92,1,80175.00
Plasmid_type_93,1,78694.00
Plasmid_type_94,1,78678.00
Plasmid_type_95,1,77593.00
Plasmid_type_96,2,58635.50
Plasmid_type_97,1,76698.00
Plasmid_type_98,2,74321.50
Plasmid_type_99,1,74846.00
