locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCAAOLCF_00001	CDS	858				hypothetical protein
FCAAOLCF_00002	CDS	564	proQ		COG3109	RNA chaperone ProQ
FCAAOLCF_00003	CDS	612				hypothetical protein
FCAAOLCF_00004	CDS	162				hypothetical protein
FCAAOLCF_00005	CDS	993				hypothetical protein
FCAAOLCF_00006	CDS	156				hypothetical protein
FCAAOLCF_00007	CDS	1716	xerD_1		COG4974	Tyrosine recombinase XerD
FCAAOLCF_00008	CDS	3030				hypothetical protein
FCAAOLCF_00009	CDS	1026				hypothetical protein
FCAAOLCF_00010	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
FCAAOLCF_00011	CDS	240				hypothetical protein
FCAAOLCF_00012	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
FCAAOLCF_00013	CDS	1320				hypothetical protein
FCAAOLCF_00014	CDS	1185				hypothetical protein
FCAAOLCF_00015	CDS	213				hypothetical protein
FCAAOLCF_00016	CDS	360				hypothetical protein
FCAAOLCF_00017	CDS	117				hypothetical protein
FCAAOLCF_00018	CDS	411				hypothetical protein
FCAAOLCF_00019	CDS	621	bin3			Putative transposon Tn552 DNA-invertase bin3
FCAAOLCF_00020	CDS	2898				hypothetical protein
FCAAOLCF_00021	CDS	705				hypothetical protein
FCAAOLCF_00022	CDS	336	bla_2	3.5.2.6		Beta-lactamase OXA-18
FCAAOLCF_00023	CDS	360	bla_3	3.5.2.6		Beta-lactamase OXA-18
FCAAOLCF_00024	CDS	252	tnpR			Transposon Tn3 resolvase
FCAAOLCF_00025	CDS	861	bla_4	3.5.2.6		Beta-lactamase TEM
FCAAOLCF_00026	CDS	411				hypothetical protein
FCAAOLCF_00027	CDS	564				hypothetical protein
FCAAOLCF_00028	CDS	1356				hypothetical protein
FCAAOLCF_00029	CDS	231				hypothetical protein
FCAAOLCF_00030	CDS	228				hypothetical protein
FCAAOLCF_00031	CDS	318				hypothetical protein
FCAAOLCF_00032	CDS	255	holE_1	2.7.7.7		DNA polymerase III subunit theta
FCAAOLCF_00033	CDS	426	klcA_1			Antirestriction protein KlcA
FCAAOLCF_00034	CDS	159				hypothetical protein
FCAAOLCF_00035	CDS	468				hypothetical protein
FCAAOLCF_00036	CDS	1512	ltrA		COG3344	Group II intron-encoded protein LtrA
FCAAOLCF_00037	CDS	426	umuD_1	3.4.21.-	COG1974	Protein UmuD
FCAAOLCF_00038	CDS	1272	umuC_1		COG0389	Protein UmuC
FCAAOLCF_00039	CDS	252				hypothetical protein
FCAAOLCF_00040	CDS	1953				hypothetical protein
FCAAOLCF_00041	CDS	1281				hypothetical protein
FCAAOLCF_00042	CDS	276				hypothetical protein
FCAAOLCF_00043	CDS	267				hypothetical protein
FCAAOLCF_00044	CDS	174				hypothetical protein
FCAAOLCF_00045	CDS	657				hypothetical protein
FCAAOLCF_00046	CDS	264				hypothetical protein
FCAAOLCF_00047	CDS	972	sopB			Protein SopB
FCAAOLCF_00048	CDS	1167	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
FCAAOLCF_00049	CDS	1011	repB			RepFIB replication protein A
FCAAOLCF_00050	CDS	741	xerD_2			Tyrosine recombinase XerD
FCAAOLCF_00051	CDS	102				hypothetical protein
FCAAOLCF_00052	CDS	957	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
FCAAOLCF_00053	CDS	969				hypothetical protein
FCAAOLCF_00054	CDS	1416	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
FCAAOLCF_00055	CDS	192				hypothetical protein
FCAAOLCF_00056	CDS	1278			COG4325	putative protein
FCAAOLCF_00057	CDS	1998			COG1292	Glycine betaine transporter
FCAAOLCF_00058	CDS	378				hypothetical protein
FCAAOLCF_00059	CDS	882				hypothetical protein
FCAAOLCF_00060	CDS	396				hypothetical protein
FCAAOLCF_00061	CDS	378				hypothetical protein
FCAAOLCF_00062	CDS	405				hypothetical protein
FCAAOLCF_00063	CDS	432	silE_1			Silver-binding protein SilE
FCAAOLCF_00064	CDS	1476	cusS_1	2.7.13.3	COG0642	Sensor kinase CusS
FCAAOLCF_00065	CDS	681	cusR		COG0745	Transcriptional regulatory protein CusR
FCAAOLCF_00066	CDS	1386	cusC		COG1538	Cation efflux system protein CusC
FCAAOLCF_00067	CDS	354	cusF		COG5569	Cation efflux system protein CusF
FCAAOLCF_00068	CDS	1293	cusB			Cation efflux system protein CusB
FCAAOLCF_00069	CDS	3147	cusA		COG3696	Cation efflux system protein CusA
FCAAOLCF_00070	CDS	441				hypothetical protein
FCAAOLCF_00071	CDS	2454	silP	3.6.3.53		Silver exporting P-type ATPase
FCAAOLCF_00072	CDS	198				hypothetical protein
FCAAOLCF_00073	CDS	738	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
FCAAOLCF_00074	CDS	450	silE_2			Silver-binding protein SilE
FCAAOLCF_00075	CDS	1818	copA			Copper resistance protein A
FCAAOLCF_00076	CDS	897	copB			Copper resistance protein B
FCAAOLCF_00077	CDS	381	pcoC		COG2372	Copper resistance protein C
FCAAOLCF_00078	CDS	930	copD			Copper resistance protein D
FCAAOLCF_00079	CDS	681	copR			Transcriptional activator protein CopR
FCAAOLCF_00080	CDS	1401	cusS_2	2.7.13.3	COG0642	Sensor kinase CusS
FCAAOLCF_00081	CDS	435	pcoE			putative copper-binding protein PcoE
