locus_tag	ftype	length_bp	gene	EC_number	COG	product
MCENDCBF_00001	CDS	864				hypothetical protein
MCENDCBF_00002	CDS	147				hypothetical protein
MCENDCBF_00003	CDS	849				hypothetical protein
MCENDCBF_00004	CDS	285				hypothetical protein
MCENDCBF_00005	CDS	294				hypothetical protein
MCENDCBF_00006	CDS	606				hypothetical protein
MCENDCBF_00007	CDS	573				hypothetical protein
MCENDCBF_00008	CDS	705				hypothetical protein
MCENDCBF_00009	CDS	816	neo_1	2.7.1.95		Aminoglycoside 3'-phosphotransferase
MCENDCBF_00010	CDS	705				hypothetical protein
MCENDCBF_00011	CDS	345	tmrB			Tunicamycin resistance protein
MCENDCBF_00012	CDS	861	yokD	2.3.1.-	COG2746	SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
MCENDCBF_00013	CDS	705				hypothetical protein
MCENDCBF_00014	CDS	906				hypothetical protein
MCENDCBF_00015	CDS	1239				putative multidrug-efflux transporter
MCENDCBF_00016	CDS	585				hypothetical protein
MCENDCBF_00017	CDS	765				hypothetical protein
MCENDCBF_00018	CDS	501				hypothetical protein
MCENDCBF_00019	CDS	840	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
MCENDCBF_00020	CDS	348	emrE		COG2076	Multidrug transporter EmrE
MCENDCBF_00021	CDS	459	dhfrI	1.5.1.3		Dihydrofolate reductase type 1
MCENDCBF_00022	CDS	1014	xerD_1		COG4974	Tyrosine recombinase XerD
MCENDCBF_00023	CDS	705				hypothetical protein
MCENDCBF_00024	CDS	1269	tnsB			Transposon Tn7 transposition protein TnsB
MCENDCBF_00025	CDS	939			COG2200	putative signaling protein
MCENDCBF_00026	CDS	363	mta		COG0789	HTH-type transcriptional activator mta
MCENDCBF_00027	CDS	1695	merA	1.16.1.1		Mercuric reductase
MCENDCBF_00028	CDS	462	merC			Mercuric transport protein MerC
MCENDCBF_00029	CDS	276	merP			Mercuric transport protein periplasmic component
MCENDCBF_00030	CDS	351	merT			Mercuric transport protein MerT
MCENDCBF_00031	CDS	435	merR			Mercuric resistance operon regulatory protein
MCENDCBF_00032	CDS	1005				hypothetical protein
MCENDCBF_00033	CDS	378				hypothetical protein
MCENDCBF_00034	CDS	276				hypothetical protein
MCENDCBF_00035	CDS	1023				hypothetical protein
MCENDCBF_00036	CDS	1563	recF			DNA replication and repair protein RecF
MCENDCBF_00037	CDS	417	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
MCENDCBF_00038	CDS	231	vapB		COG4456	Antitoxin VapB
MCENDCBF_00039	CDS	219	ccdA		COG5302	Antitoxin CcdA
MCENDCBF_00040	CDS	306	ccdB			Toxin CcdB
MCENDCBF_00041	CDS	396				hypothetical protein
MCENDCBF_00042	CDS	315				hypothetical protein
MCENDCBF_00043	CDS	1017				hypothetical protein
MCENDCBF_00044	CDS	144				hypothetical protein
MCENDCBF_00045	CDS	795	xerD_2		COG4974	Tyrosine recombinase XerD
MCENDCBF_00046	CDS	303				hypothetical protein
MCENDCBF_00047	CDS	627	soj	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
MCENDCBF_00048	CDS	876	repA_1			Replication protein RepA
MCENDCBF_00049	CDS	1272	umuC_1		COG0389	Protein UmuC
MCENDCBF_00050	CDS	432	umuD_1	3.4.21.-	COG1974	Protein UmuD
MCENDCBF_00051	CDS	972	parM			Plasmid segregation protein ParM
MCENDCBF_00052	CDS	672				hypothetical protein
MCENDCBF_00053	CDS	231				hypothetical protein
MCENDCBF_00054	CDS	702	yhdJ_1	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
MCENDCBF_00055	CDS	222				hypothetical protein
MCENDCBF_00056	CDS	420				hypothetical protein
MCENDCBF_00057	CDS	768				hypothetical protein
MCENDCBF_00058	CDS	429	klcA_1			Antirestriction protein KlcA
MCENDCBF_00059	CDS	507				hypothetical protein
MCENDCBF_00060	CDS	192				hypothetical protein
MCENDCBF_00061	CDS	255	holE_1	2.7.7.7		DNA polymerase III subunit theta
MCENDCBF_00062	CDS	321				hypothetical protein
MCENDCBF_00063	CDS	228				hypothetical protein
MCENDCBF_00064	CDS	231				hypothetical protein
MCENDCBF_00065	CDS	1356				hypothetical protein
MCENDCBF_00066	CDS	564				hypothetical protein
MCENDCBF_00067	CDS	330				hypothetical protein
MCENDCBF_00068	CDS	543	ssb			Plasmid-derived single-stranded DNA-binding protein
MCENDCBF_00069	CDS	249				hypothetical protein
MCENDCBF_00070	CDS	2058	spo0C_1		COG1475	Chromosome-partitioning protein Spo0J
