locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALJFABJE_00001	CDS	498				hypothetical protein
ALJFABJE_00002	CDS	216				hypothetical protein
ALJFABJE_00003	CDS	372				hypothetical protein
ALJFABJE_00004	CDS	426				hypothetical protein
ALJFABJE_00005	CDS	255				hypothetical protein
ALJFABJE_00006	CDS	312	mbeC			Mobilization protein MbeC
ALJFABJE_00007	CDS	159	mbeA	5.99.1.2		DNA relaxase MbeA
ALJFABJE_00008	CDS	705				hypothetical protein
ALJFABJE_00009	CDS	570	hin		COG1961	DNA-invertase hin
ALJFABJE_00010	CDS	1209	ecoRIIR	3.1.21.4		Type-2 restriction enzyme EcoRII
ALJFABJE_00011	CDS	1434	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
ALJFABJE_00012	CDS	267				hypothetical protein
ALJFABJE_00013	CDS	207				hypothetical protein
ALJFABJE_00014	CDS	255				hypothetical protein
ALJFABJE_00015	CDS	924				hypothetical protein
ALJFABJE_00016	CDS	312				hypothetical protein
ALJFABJE_00017	CDS	315				hypothetical protein
ALJFABJE_00018	CDS	345				hypothetical protein
ALJFABJE_00019	CDS	306	hvrA			Trans-acting regulatory protein HvrA
ALJFABJE_00020	CDS	738	virB1			Type IV secretion system protein virB1
ALJFABJE_00021	CDS	282				hypothetical protein
ALJFABJE_00022	CDS	294				hypothetical protein
ALJFABJE_00023	CDS	318				hypothetical protein
ALJFABJE_00024	CDS	2601	virB4			Type IV secretion system protein virB4
ALJFABJE_00025	CDS	714	virB5			Type IV secretion system protein virB5
ALJFABJE_00026	CDS	228				hypothetical protein
ALJFABJE_00027	CDS	1041	virB6			Type IV secretion system protein VirB6
ALJFABJE_00028	CDS	699	virB8			Type IV secretion system protein virB8
ALJFABJE_00029	CDS	885	virB9			Type IV secretion system protein virB9
ALJFABJE_00030	CDS	1161				Protein virB10
ALJFABJE_00031	CDS	996			COG0630	Type IV secretion system protein VirB11
ALJFABJE_00032	CDS	180				hypothetical protein
ALJFABJE_00033	CDS	1320				hypothetical protein
ALJFABJE_00034	CDS	882	bla	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
ALJFABJE_00035	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
ALJFABJE_00036	CDS	1026				hypothetical protein
ALJFABJE_00037	CDS	3030				hypothetical protein
ALJFABJE_00038	CDS	1716	xerD		COG4974	Tyrosine recombinase XerD
ALJFABJE_00039	CDS	372	pld	3.1.4.4		Phospholipase D
ALJFABJE_00040	CDS	315				hypothetical protein
ALJFABJE_00041	CDS	357				hypothetical protein
ALJFABJE_00042	CDS	402				hypothetical protein
ALJFABJE_00043	CDS	291				hypothetical protein
ALJFABJE_00044	CDS	399				hypothetical protein
ALJFABJE_00045	CDS	3237	traI			Multifunctional conjugation protein TraI
ALJFABJE_00046	CDS	1530	traD			Coupling protein TraD
ALJFABJE_00047	CDS	417				hypothetical protein
ALJFABJE_00048	CDS	387				hypothetical protein
ALJFABJE_00049	CDS	717				hypothetical protein
ALJFABJE_00050	CDS	369				hypothetical protein
ALJFABJE_00051	CDS	345				hypothetical protein
ALJFABJE_00052	CDS	180				hypothetical protein
ALJFABJE_00053	CDS	510				hypothetical protein
ALJFABJE_00054	CDS	108				hypothetical protein
ALJFABJE_00055	CDS	333				hypothetical protein
ALJFABJE_00056	CDS	285				hypothetical protein
ALJFABJE_00057	CDS	360				hypothetical protein
ALJFABJE_00058	CDS	297				hypothetical protein
ALJFABJE_00059	CDS	156				hypothetical protein
ALJFABJE_00060	CDS	240				hypothetical protein
ALJFABJE_00061	CDS	405				hypothetical protein
ALJFABJE_00062	CDS	426	klcA			Antirestriction protein KlcA
ALJFABJE_00063	CDS	441	umuD	3.4.21.-	COG1974	Protein UmuD
ALJFABJE_00064	CDS	1266	umuC		COG0389	Protein UmuC
ALJFABJE_00065	CDS	792				hypothetical protein
ALJFABJE_00066	CDS	342				hypothetical protein
ALJFABJE_00067	CDS	720	repE			Replication initiation protein
ALJFABJE_00068	CDS	1476	secA		COG0653	Protein translocase subunit SecA
ALJFABJE_00069	CDS	912				hypothetical protein
