locus_tag	ftype	length_bp	gene	EC_number	COG	product
JCHFAFHG_00001	CDS	1011	repB_1			RepFIB replication protein A
JCHFAFHG_00002	CDS	288	xerD_1			Tyrosine recombinase XerD
JCHFAFHG_00003	CDS	369				hypothetical protein
JCHFAFHG_00004	CDS	537				hypothetical protein
JCHFAFHG_00005	CDS	117				hypothetical protein
JCHFAFHG_00006	CDS	753				hypothetical protein
JCHFAFHG_00007	CDS	300				hypothetical protein
JCHFAFHG_00008	CDS	270				hypothetical protein
JCHFAFHG_00009	CDS	384				hypothetical protein
JCHFAFHG_00010	CDS	633				hypothetical protein
JCHFAFHG_00011	CDS	783				Insertion sequence IS5376 putative ATP-binding protein
JCHFAFHG_00012	CDS	369				hypothetical protein
JCHFAFHG_00013	CDS	264				hypothetical protein
JCHFAFHG_00014	CDS	552				hypothetical protein
JCHFAFHG_00015	CDS	624				hypothetical protein
JCHFAFHG_00016	CDS	324				hypothetical protein
JCHFAFHG_00017	CDS	438				hypothetical protein
JCHFAFHG_00018	CDS	1032	spo0J		COG1475	Stage 0 sporulation protein J
JCHFAFHG_00019	CDS	867	soj_1	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
JCHFAFHG_00020	CDS	129				hypothetical protein
JCHFAFHG_00021	CDS	240	dnaJ			Chaperone protein DnaJ
JCHFAFHG_00022	CDS	1749				hypothetical protein
JCHFAFHG_00023	CDS	930	rpnA	3.1.21.-	COG5464	Recombination-promoting nuclease RpnA
JCHFAFHG_00024	CDS	780	xerD_2		COG4974	Tyrosine recombinase XerD
JCHFAFHG_00025	CDS	906				hypothetical protein
JCHFAFHG_00026	CDS	315				hypothetical protein
JCHFAFHG_00027	CDS	975	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
JCHFAFHG_00028	CDS	909				hypothetical protein
JCHFAFHG_00029	CDS	351				hypothetical protein
JCHFAFHG_00030	CDS	432	silE_1			Silver-binding protein SilE
JCHFAFHG_00031	CDS	1476	cusS_1	2.7.13.3	COG0642	Sensor kinase CusS
JCHFAFHG_00032	CDS	681	cusR		COG0745	Transcriptional regulatory protein CusR
JCHFAFHG_00033	CDS	1386	cusC		COG1538	Cation efflux system protein CusC
JCHFAFHG_00034	CDS	363	cusF		COG5569	Cation efflux system protein CusF
JCHFAFHG_00035	CDS	1293	cusB			Cation efflux system protein CusB
JCHFAFHG_00036	CDS	3147	cusA		COG3696	Cation efflux system protein CusA
JCHFAFHG_00037	CDS	441				hypothetical protein
JCHFAFHG_00038	CDS	2448	silP	3.6.3.53		Silver exporting P-type ATPase
JCHFAFHG_00039	CDS	198				hypothetical protein
JCHFAFHG_00040	CDS	738	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
JCHFAFHG_00041	CDS	468	silE_2			Silver-binding protein SilE
JCHFAFHG_00042	CDS	1818	copA			Copper resistance protein A
