locus_tag	ftype	length_bp	gene	EC_number	COG	product
NEBHKCDI_00001	CDS	1254				hypothetical protein
NEBHKCDI_00002	CDS	504				hypothetical protein
NEBHKCDI_00003	CDS	411	ygiW		COG3111	Protein YgiW
NEBHKCDI_00004	CDS	1131	rcnA		COG2215	Nickel/cobalt efflux system RcnA
NEBHKCDI_00005	CDS	270	csoR		COG1937	Copper-sensing transcriptional repressor CsoR
NEBHKCDI_00006	CDS	1299	mdtG			Multidrug resistance protein MdtG
NEBHKCDI_00007	CDS	759				hypothetical protein
NEBHKCDI_00008	CDS	921				hypothetical protein
NEBHKCDI_00009	CDS	372				hypothetical protein
NEBHKCDI_00010	CDS	384	chrB1			Protein ChrB
NEBHKCDI_00011	CDS	1320				hypothetical protein
NEBHKCDI_00012	CDS	882	bla_1	3.5.2.6		Carbapenem-hydrolyzing beta-lactamase KPC
NEBHKCDI_00013	CDS	780				Insertion sequence IS5376 putative ATP-binding protein
NEBHKCDI_00014	CDS	1026				hypothetical protein
NEBHKCDI_00015	CDS	3030				hypothetical protein
NEBHKCDI_00016	CDS	1716	xerD_1		COG4974	Tyrosine recombinase XerD
NEBHKCDI_00017	CDS	909				hypothetical protein
NEBHKCDI_00018	CDS	558	tnpR_1			Transposon Tn3 resolvase
NEBHKCDI_00019	CDS	606	aacA4	2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
NEBHKCDI_00020	CDS	777	ant1	2.7.7.47		Streptomycin 3''-adenylyltransferase
NEBHKCDI_00021	CDS	825	bla_2	3.5.2.6		Beta-lactamase OXA-18
NEBHKCDI_00022	CDS	252	tnpR_2			Transposon Tn3 resolvase
NEBHKCDI_00023	CDS	861	bla_3	3.5.2.6		Beta-lactamase TEM
NEBHKCDI_00024	CDS	540				hypothetical protein
NEBHKCDI_00025	CDS	837				hypothetical protein
NEBHKCDI_00026	CDS	804	neo	2.7.1.95		Aminoglycoside 3'-phosphotransferase
NEBHKCDI_00027	CDS	816	folP	2.5.1.15	COG0294	Dihydropteroate synthase
NEBHKCDI_00028	CDS	177				hypothetical protein
NEBHKCDI_00029	CDS	1005				hypothetical protein
NEBHKCDI_00030	CDS	1707				hypothetical protein
NEBHKCDI_00031	CDS	705				hypothetical protein
NEBHKCDI_00032	CDS	312				hypothetical protein
NEBHKCDI_00033	CDS	648				hypothetical protein
NEBHKCDI_00034	CDS	504				hypothetical protein
NEBHKCDI_00035	CDS	267				hypothetical protein
NEBHKCDI_00036	CDS	1434	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
NEBHKCDI_00037	CDS	1209	ecoRIIR	3.1.21.4		Type-2 restriction enzyme EcoRII
NEBHKCDI_00038	CDS	765				hypothetical protein
NEBHKCDI_00039	CDS	285				hypothetical protein
NEBHKCDI_00040	CDS	474	dhfrI	1.5.1.3		Dihydrofolate reductase type 1
NEBHKCDI_00041	CDS	930	xerD_2		COG4974	Tyrosine recombinase XerD
NEBHKCDI_00042	CDS	705				hypothetical protein
NEBHKCDI_00043	CDS	237	recF			DNA replication and repair protein RecF
NEBHKCDI_00044	CDS	417	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
NEBHKCDI_00045	CDS	231	vapB		COG4456	Antitoxin VapB
NEBHKCDI_00046	CDS	321				hypothetical protein
NEBHKCDI_00047	CDS	639				hypothetical protein
NEBHKCDI_00048	CDS	786	xerD_3		COG4974	Tyrosine recombinase XerD
NEBHKCDI_00049	CDS	96				hypothetical protein
NEBHKCDI_00050	CDS	756	repE			Replication initiation protein
NEBHKCDI_00051	CDS	1539				hypothetical protein
NEBHKCDI_00052	CDS	348				hypothetical protein
NEBHKCDI_00053	CDS	405				hypothetical protein
NEBHKCDI_00054	CDS	1206	parA			Plasmid partition protein A
NEBHKCDI_00055	CDS	975	virB		COG1475	Virulence regulon transcriptional activator VirB
NEBHKCDI_00056	CDS	1272	umuC		COG0389	Protein UmuC
NEBHKCDI_00057	CDS	432	umuD	3.4.21.-	COG1974	Protein UmuD
NEBHKCDI_00058	CDS	972	parM			Plasmid segregation protein ParM
NEBHKCDI_00059	CDS	672				hypothetical protein
NEBHKCDI_00060	CDS	231				hypothetical protein
NEBHKCDI_00061	CDS	702	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
NEBHKCDI_00062	CDS	222				hypothetical protein
NEBHKCDI_00063	CDS	420				hypothetical protein
NEBHKCDI_00064	CDS	768				hypothetical protein
NEBHKCDI_00065	CDS	429	klcA			Antirestriction protein KlcA
NEBHKCDI_00066	CDS	507				hypothetical protein
NEBHKCDI_00067	CDS	192				hypothetical protein
NEBHKCDI_00068	CDS	261	holE	2.7.7.7		DNA polymerase III subunit theta
NEBHKCDI_00069	CDS	321				hypothetical protein
NEBHKCDI_00070	CDS	543	ssb			Plasmid-derived single-stranded DNA-binding protein
NEBHKCDI_00071	CDS	249				hypothetical protein
NEBHKCDI_00072	CDS	2001	spo0C		COG1475	Chromosome-partitioning protein Spo0J
NEBHKCDI_00073	CDS	432	psiB			Protein PsiB
NEBHKCDI_00074	CDS	729				hypothetical protein
NEBHKCDI_00075	CDS	327				hypothetical protein
NEBHKCDI_00076	CDS	510				hypothetical protein
NEBHKCDI_00077	CDS	810				hypothetical protein
NEBHKCDI_00078	CDS	1041	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
NEBHKCDI_00079	CDS	2340				hypothetical protein
NEBHKCDI_00080	CDS	1038				hypothetical protein
